,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
55,57,1,865050.8102,1439709.827,865058.5441,1439767.367,865054.6774,1439738.599,-8661.605469,-8569.489258,58.05768152,29.03081036,29.02687116,0.003939197,MID55
56,58,1,865059.9707,1439708.301,865067.8083,1439766.417,865063.8892,1439737.357,-8661.605469,-8569.489258,58.64274749,29.3190641,29.3236834,-0.004619301,MID56
57,59,1,865069.1556,1439706.77,865077.0468,1439765.47,865073.1009,1439736.118,-8661.605469,-8567.047852,59.22777028,29.61198069,29.61578959,-0.003808898,MID57
58,60,1,865078.3338,1439705.241,865086.2917,1439764.522,865082.3127,1439734.882,-8640.376953,-8567.047852,59.81278442,29.90644437,29.90634005,0.000104327,MID58
59,61,1,865087.4956,1439703.715,865095.554,1439763.573,865091.5245,1439733.642,-8640.376953,-8567.047852,60.39782724,30.19686613,30.20096112,-0.004094992,MID59
60,62,1,865096.674,1439702.186,865104.799,1439762.625,865100.7363,1439732.403,-8640.376953,-8567.047852,60.9828541,30.4895774,30.4932767,-0.003699301,MID60
61,63,1,865105.8468,1439700.657,865114.0498,1439761.676,865109.948,1439731.165,-8640.376953,-8567.047852,61.56788205,30.78210894,30.78577311,-0.003664167,MID61
62,64,1,865115.0311,1439699.127,865123.2879,1439760.729,865119.1598,1439729.93,-8640.376953,-8567.047852,62.1528841,31.07864349,31.07424061,0.004402885,MID62
63,65,1,865124.1803,1439697.603,865132.5634,1439759.778,865128.3716,1439728.688,-8640.376953,-8565.552734,62.73794275,31.36678751,31.37115524,-0.004367728,MID63
64,66,1,865133.3753,1439696.071,865141.7909,1439758.832,865137.5833,1439727.453,-8630.158203,-8565.552734,63.32294294,31.66317971,31.65976323,0.003416485,MID64
65,67,1,865142.5316,1439694.545,865151.0588,1439757.882,865146.7951,1439726.213,-8630.158203,-8565.552734,63.90798376,31.95336586,31.9546179,-0.001252045,MID65
